Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH79700B,Patents,8,1,1,B,30,44,Granted,Active,4180000
TH174419A,Applications,2,1,6,B,13,23,Published,Pending,4170000
TH76402B,Patents,26,1,1,B,13,9,Granted,Active,4170000
TH60393B,Patents,30,1,5,B,19,51,Granted,Active,4170000
TH77064B,Patents,34,1,3,A,30,50,Granted,Active,4170000
TH77967B,Patents,52,1,4,B,16,24,Granted,Active,4160000
TH46032B,Patents,11,1,8,C,27,75,Granted,Active,4160000
TH167968A,Applications,2,1,2,B,18,18,Examining,Pending,4150000
TH158338A,Applications,2,1,2,B,30,56,Examining,Pending,4150000
TH147632A,Applications,2,1,10,A,34,86,Examining,Pending,4150000
TH44049B,Patents,10,1,6,B,12,29,Granted,Active,4150000
TH75872B,Patents,29,1,5,F,11,47,Granted,Active,4140000
TH131674A,Applications,1,1,2,A,21,49,Examining,Pending,4130000
TH86005B,Patents,27,1,3,B,17,24,Granted,Active,4130000
TH1701000382A,Applications,62,2,6,C,20,21,Published,Pending,4130000
TH166151A,Applications,2,1,4,B,16,24,Examining,Pending,4120000
TH74074B,Patents,17,1,15,F,10,19,Granted,Active,4120000
TH137787A,Applications,1,1,7,C,12,109,Examining,Pending,4110000
TH134798A,Applications,2,1,3,A,19,7,Examining,Pending,4110000
TH1801007993A,Applications,12,1,4,A,23,4,Published,Pending,4110000
TH85880B,Patents,38,1,1,C,13,11,Granted,Active,4110000
TH56284B,Patents,13,2,12,B,15,17,Ceased,Inactive,4110000
TH1801000931A,Applications,2,1,1,B,26,6,Examining,Pending,4100000
TH78394B,Patents,31,1,4,A,24,30,Granted,Active,4100000
TH139640A,Applications,1,1,2,A,12,54,Examining,Pending,4090000
TH135838A,Applications,1,1,14,A,27,13,Examining,Pending,4090000
TH84280B,Patents,11,1,8,A,17,5,Granted,Active,4090000
TH73490B,Patents,12,1,8,B,13,18,Ceased,Inactive,4080000
TH72821B,Patents,13,1,2,A,17,41,Granted,Active,4080000
TH88715B,Patents,28,1,1,G,21,6,Granted,Active,4080000
TH134248A,Applications,1,1,3,A,20,4,Examining,Pending,4070000
TH126084A,Applications,1,1,16,A,37,37,Examining,Pending,4070000
TH134746A,Applications,1,6,12,B,11,25,Examining,Pending,4070000
TH1701000424A,Applications,1,2,6,A,15,1,Published,Pending,4070000
TH78773B,Patents,16,1,1,B,21,4,Granted,Active,4070000
TH145978A,Applications,1,2,2,C,28,4,Examining,Pending,4060000
TH165254A,Applications,2,1,2,B,15,14,Examining,Pending,4060000
TH125499A,Applications,1,1,2,A,10,43,Examining,Pending,4060000
TH146720A,Applications,1,1,2,C,25,4,Examining,Pending,4050000
TH87709B,Patents,12,1,4,B,32,9,Granted,Active,4050000
TH73063B,Patents,18,1,1,D,23,6,Granted,Active,4040000
TH68086B,Patents,19,1,7,A,15,38,Granted,Active,4030000
TH65876B,Patents,9,1,2,A,30,35,Granted,Active,4030000
TH82856B,Patents,18,1,1,A,20,15,Granted,Active,4020000
TH177515A,Applications,2,1,6,B,19,36,Published,Pending,4010000
TH1801005136A,Applications,24,1,2,C,18,2,Examining,Pending,4010000
TH78172B,Patents,21,1,3,B,11,10,Granted,Active,4010000
TH72419B,Patents,65,1,4,A,11,49,Granted,Active,4010000
TH66990B,Patents,13,1,2,F,7,31,Granted,Active,4010000
TH76122B,Patents,24,1,5,A,23,46,Granted,Active,4000000
TH82854B,Patents,15,3,14,B,16,3,Granted,Active,4000000
TH143169A,Applications,1,1,4,B,18,15,Examining,Pending,3990000
TH139679A,Applications,2,1,6,C,14,15,Examining,Pending,3990000
TH75524B,Patents,42,1,6,C,14,29,Granted,Active,3990000
TH41708B,Patents,14,1,2,A,15,17,Granted,Active,3990000
TH151352A,Applications,1,1,23,C,22,15,Published,Pending,3980000
TH136658A,Applications,1,1,12,C,27,52,Examining,Pending,3980000
TH1801004524A,Applications,19,1,4,B,33,4,Published,Pending,3980000
TH80822B,Patents,35,1,6,B,16,50,Granted,Active,3980000
TH75490B,Patents,2,1,6,F,15,8,Granted,Active,3980000
TH143319A,Applications,1,2,2,A,25,21,Examining,Pending,3970000
TH76725B,Patents,12,1,12,C,18,15,Granted,Active,3970000
TH1901003943A,Applications,116,1,10,A,21,15,Published,Pending,3970000
TH146681A,Applications,1,1,4,A,16,28,Examining,Pending,3960000
TH85103B,Patents,49,2,2,A,19,28,Granted,Active,3960000
TH1801001743A,Applications,194,1,7,C,36,44,Published,Pending,3960000
TH83084B,Patents,27,1,4,F,15,21,Granted,Active,3950000
TH112141A,Applications,1,1,1,A,34,65,Examining,Pending,3940000
TH164108A,Applications,1,1,6,A,47,90,Published,Pending,3940000
TH128742A,Applications,1,1,2,C,24,115,Examining,Pending,3940000
TH1801000626A,Applications,133,1,2,A,14,16,Published,Pending,3940000
TH58398B,Patents,26,1,3,A,20,80,Ceased,Inactive,3940000
TH83367B,Patents,20,1,2,B,16,22,Granted,Active,3930000
TH140034A,Applications,1,1,8,A,26,49,Examining,Pending,3920000
TH132229A,Applications,1,1,10,A,14,86,Examining,Pending,3920000
TH64041B,Patents,37,1,8,F,17,5,Granted,Active,3920000
TH79500B,Patents,28,1,8,A,13,22,Granted,Active,3920000
TH87171B,Patents,15,1,8,A,24,40,Granted,Active,3920000
TH43154B,Patents,28,1,1,B,32,11,Granted,Active,3910000
TH81334B,Patents,2,1,4,F,14,8,Granted,Active,3910000
TH90212B,Patents,2,1,4,B,22,7,Granted,Active,3910000
TH1801002532A,Applications,144,1,6,A,14,22,Published,Pending,3900000
TH61289B,Patents,27,1,2,F,13,19,Granted,Active,3900000
TH54057B,Patents,18,1,4,B,12,20,Granted,Active,3900000
TH81529B,Patents,32,2,3,C,29,9,Granted,Active,3890000
TH85690B,Patents,22,1,4,A,15,26,Granted,Active,3890000
TH89447B,Patents,18,1,6,B,12,7,Granted,Active,3890000
TH131528A,Applications,1,1,2,A,23,83,Examining,Pending,3880000
TH142268A,Applications,1,1,1,A,22,16,Examining,Pending,3880000
TH135150A,Applications,1,1,4,C,16,34,Examining,Pending,3880000
TH153732A,Applications,1,1,4,A,18,9,Examining,Pending,3880000
TH181550A,Applications,1,1,4,A,19,14,Examining,Pending,3880000
TH65764B,Patents,31,1,1,B,23,28,Granted,Active,3880000
TH160625A,Applications,1,2,3,C,77,50,Published,Pending,3870000
TH1601003427A,Applications,182,1,6,C,19,19,Published,Pending,3870000
TH74418B,Patents,25,1,2,B,19,45,Granted,Active,3870000
TH132862A,Applications,1,1,2,A,15,37,Examining,Pending,3860000
TH72872B,Patents,43,1,3,C,16,149,Granted,Active,3860000
TH180711A,Applications,2,1,1,B,18,24,Published,Pending,3850000
TH1601005504A,Applications,24,1,12,C,14,16,Published,Pending,3850000
TH66439B,Patents,13,1,4,C,19,15,Granted,Active,3850000
TH79128B,Patents,23,1,4,B,17,10,Granted,Active,3850000
TH89150B,Patents,5,1,18,C,30,43,Granted,Active,3850000
TH117409A,Applications,1,1,19,C,15,40,Examining,Pending,3840000
TH43051B,Patents,27,1,2,F,20,40,Granted,Active,3840000
TH64716B,Patents,71,1,3,C,8,91,Granted,Active,3840000
TH65394B,Patents,11,1,1,A,13,152,Granted,Active,3840000
TH61834B,Patents,11,1,3,C,12,17,Granted,Active,3840000
TH88005B,Patents,28,2,2,A,25,9,Granted,Active,3840000
TH1801003297A,Applications,11,1,2,B,25,25,Examining,Pending,3830000
TH76420B,Patents,23,1,2,B,12,50,Granted,Active,3830000
TH167975A,Applications,3,1,4,B,14,9,Examining,Pending,3820000
TH1901002278A,Applications,21,1,2,B,42,0,Published,Pending,3820000
TH1601006095A,Applications,42,1,2,A,23,52,Published,Pending,3820000
TH79991B,Patents,21,1,3,A,16,44,Granted,Active,3820000
TH89256B,Patents,15,1,2,C,40,170,Granted,Active,3820000
TH68454B,Patents,23,1,3,F,10,23,Granted,Active,3810000
TH56201B,Patents,12,1,1,B,18,40,Granted,Active,3810000
TH173417A,Applications,1,2,5,A,22,19,Published,Pending,3800000
TH81000B,Patents,20,1,2,B,28,36,Granted,Active,3800000
TH78967B,Patents,25,1,6,C,9,78,Granted,Active,3790000
TH72978B,Patents,18,1,2,G,17,40,Granted,Active,3790000
TH59078B,Patents,28,1,2,B,22,2,Ceased,Inactive,3790000
TH147216A,Applications,1,1,12,A,23,3,Examining,Pending,3780000
TH63279B,Patents,8,1,1,B,27,3,Granted,Active,3780000
TH72322B,Patents,12,1,1,H,20,57,Granted,Active,3780000
TH53787B,Patents,13,1,6,B,10,79,Granted,Active,3780000
TH1701007712A,Applications,1,1,4,A,34,60,Published,Pending,3780000
TH135200A,Applications,1,1,3,C,29,17,Examining,Pending,3770000
TH82324B,Patents,28,1,3,B,11,8,Granted,Active,3770000
TH124420A,Applications,2,1,10,B,18,35,Examining,Pending,3760000
TH127387A,Applications,1,1,8,C,13,43,Examining,Pending,3760000
TH59240B,Patents,34,1,1,F,8,57,Granted,Active,3760000
TH88297B,Patents,39,1,6,B,13,16,Granted,Active,3760000
TH126632A,Applications,1,1,3,C,9,24,Examining,Pending,3750000
TH151559A,Applications,1,1,6,A,32,35,Examining,Pending,3750000
TH56056B,Patents,31,1,3,F,7,29,Granted,Active,3750000
TH87195B,Patents,13,1,10,F,21,108,Granted,Active,3750000
TH13993U,Utility models,3,1,1,A,18,9,Granted,Active,3740000
TH59457B,Patents,31,1,4,C,12,49,Granted,Active,3740000
TH57935B,Patents,16,1,1,B,22,8,Ceased,Inactive,3740000
TH163382A,Applications,1,1,9,A,19,0,Examining,Pending,3730000
TH70723B,Patents,78,1,6,C,9,48,Granted,Active,3730000
TH77805B,Patents,29,1,4,B,23,13,Granted,Active,3730000
TH139461A,Applications,1,2,4,C,13,43,Examining,Pending,3720000
TH169468A,Applications,1,1,3,A,16,10,Examining,Pending,3720000
TH1701006128A,Applications,28,1,12,A,27,65,Published,Pending,3720000
TH67973B,Patents,9,1,6,A,15,101,Granted,Active,3720000
TH120335A,Applications,1,1,8,C,18,24,Examining,Pending,3710000
TH115436A,Applications,1,1,3,A,28,17,Examining,Pending,3710000
TH79487B,Patents,31,1,2,B,27,46,Granted,Active,3710000
TH41886B,Patents,21,1,1,B,12,56,Granted,Active,3710000
TH90599B,Patents,5,1,8,B,20,19,Granted,Active,3700000
TH141461A,Applications,1,1,3,A,9,74,Examining,Pending,3690000
TH77374B,Patents,68,2,5,A,21,60,Granted,Active,3690000
TH85271B,Patents,27,1,5,A,17,83,Granted,Active,3690000
TH89428B,Patents,24,1,4,B,11,43,Granted,Active,3690000
TH90431B,Patents,1,1,3,A,20,189,Granted,Active,3690000
TH44158B,Patents,21,1,2,F,18,8,Granted,Active,3680000
TH45920B,Patents,25,1,4,B,13,62,Granted,Active,3680000
TH153763A,Applications,1,1,3,A,26,6,Examining,Pending,3670000
TH82367B,Patents,26,1,2,A,8,27,Granted,Active,3670000
TH52537B,Patents,28,1,4,A,19,54,Granted,Active,3670000
TH71430B,Patents,29,1,4,B,9,23,Granted,Active,3670000
TH128744A,Applications,1,1,4,C,22,35,Examining,Pending,3660000
TH81221B,Patents,18,1,7,C,8,56,Granted,Active,3660000
TH136646A,Applications,1,1,20,A,39,106,Examining,Pending,3650000
TH122169A,Applications,2,2,8,A,18,34,Examining,Pending,3650000
TH161824A,Applications,1,1,4,A,21,16,Published,Pending,3650000
TH52200B,Patents,24,1,4,C,10,83,Granted,Active,3650000
TH59707B,Patents,55,1,3,A,13,2,Granted,Active,3650000
TH87639B,Patents,8,1,6,A,14,25,Granted,Active,3650000
TH1901003692A,Applications,32,1,2,C,19,8,Examining,Pending,3640000
TH67039B,Patents,14,2,8,A,9,32,Granted,Active,3640000
TH83391B,Patents,15,1,7,D,20,5,Granted,Active,3640000
TH85015B,Patents,32,1,2,B,32,3,Granted,Active,3640000
TH36539B,Patents,31,1,9,B,36,457,Ceased,Inactive,3630000
TH160634A,Applications,1,1,2,A,29,4,Published,Pending,3620000
TH73897B,Patents,16,1,6,B,9,48,Granted,Active,3620000
TH57498B,Patents,18,1,1,A,30,38,Granted,Active,3620000
TH83129B,Patents,31,1,6,A,17,15,Granted,Active,3620000
TH1801008128A,Applications,11,1,4,A,21,2,Published,Pending,3610000
TH1801000617A,Applications,68,1,4,F,18,17,Published,Pending,3610000
TH72989B,Patents,20,1,1,F,9,42,Granted,Active,3610000
TH44290B,Patents,38,2,12,B,14,49,Granted,Active,3610000
TH2001001077A,Applications,2,1,6,F,19,34,Examining,Pending,3600000
TH78833B,Patents,19,1,7,A,13,9,Granted,Active,3600000
TH89812B,Patents,42,1,6,B,30,44,Granted,Active,3600000
TH157491A,Applications,1,1,3,B,25,17,Published,Pending,3590000
TH45533B,Patents,22,1,4,B,11,42,Granted,Active,3590000
TH114618A,Applications,1,1,3,C,20,34,Examining,Pending,3580000
TH1801002056A,Applications,59,1,2,A,20,30,Examining,Pending,3580000
TH1701004479A,Applications,64,1,4,A,31,10,Published,Pending,3580000
TH80249B,Patents,18,2,2,B,22,4,Granted,Active,3580000
TH63641B,Patents,34,1,8,C,10,17,Granted,Active,3580000
TH79734B,Patents,23,1,2,B,27,39,Granted,Active,3580000
TH56384B,Patents,27,1,1,F,7,61,Granted,Active,3580000
TH111504A,Applications,1,1,5,A,11,43,Examining,Pending,3570000
TH1901000524A,Applications,19,1,2,F,24,6,Published,Pending,3570000
TH66736B,Patents,5,1,6,C,25,14,Granted,Active,3570000
TH73793B,Patents,35,1,3,B,22,54,Ceased,Inactive,3570000
TH60325B,Patents,14,2,4,A,8,42,Granted,Active,3570000
TH111503A,Applications,1,1,7,A,30,281,Examining,Pending,3560000
TH166763A,Applications,1,1,6,A,16,20,Examining,Pending,3560000
TH65670B,Patents,24,1,4,C,9,46,Granted,Active,3560000
TH85658B,Patents,40,1,3,C,28,7,Granted,Active,3560000
TH74339B,Patents,10,1,1,A,12,32,Granted,Active,3550000
TH49864B,Patents,142,1,8,C,9,200,Granted,Active,3550000
TH49883B,Patents,24,1,1,A,27,14,Granted,Active,3550000
TH79457B,Patents,21,1,2,B,16,17,Granted,Active,3550000
TH68121B,Patents,17,1,4,F,12,12,Granted,Active,3550000
TH83741B,Patents,12,1,2,F,14,6,Granted,Active,3550000
TH147211A,Applications,1,1,2,A,12,10,Examining,Pending,3540000
TH101949A,Applications,1,1,2,A,18,9,Examining,Pending,3540000
TH75295B,Patents,52,1,2,A,14,7,Granted,Active,3540000
TH168758A,Applications,1,1,10,A,21,46,Examining,Pending,3530000
TH147326A,Applications,1,1,7,A,21,30,Examining,Pending,3530000
TH135920A,Applications,2,1,4,A,26,6,Examining,Pending,3530000
TH131142A,Applications,1,1,12,C,21,166,Examining,Pending,3530000
TH174491A,Applications,1,2,2,C,12,12,Examining,Pending,3530000
TH78861B,Patents,24,1,2,B,13,23,Granted,Active,3530000
TH76759B,Patents,21,1,2,B,28,53,Granted,Active,3530000
TH79814B,Patents,32,1,6,A,27,906,Granted,Active,3530000
TH126485A,Applications,1,1,4,C,12,7,Examining,Pending,3520000
TH78838B,Patents,16,1,2,B,19,16,Granted,Active,3520000
TH58722B,Patents,23,1,11,B,15,16,Ceased,Inactive,3520000
TH62519B,Patents,9,1,5,C,34,13,Granted,Active,3520000
TH85841B,Patents,14,1,4,B,16,9,Granted,Active,3520000
TH62245B,Patents,84,1,6,F,7,46,Granted,Active,3520000
TH141688A,Applications,1,1,6,A,24,7,Examining,Pending,3510000
TH65795B,Patents,35,1,9,C,11,23,Granted,Active,3510000
TH69018B,Patents,11,2,2,B,25,3,Granted,Active,3510000
TH68887B,Patents,11,1,1,A,7,223,Granted,Active,3510000
TH77157B,Patents,15,2,1,A,11,29,Granted,Active,3510000
TH149037A,Applications,1,1,6,C,14,119,Examining,Pending,3490000
TH78404B,Patents,17,1,2,A,14,3,Granted,Active,3490000
TH86531B,Patents,23,1,1,B,15,130,Granted,Active,3490000
TH86509B,Patents,96,2,7,A,11,18,Granted,Active,3490000
TH123661A,Applications,1,1,3,C,10,47,Examining,Pending,3480000
TH75452B,Patents,19,1,1,F,10,24,Granted,Active,3480000
TH81390B,Patents,24,1,10,F,9,23,Granted,Active,3480000
TH83475B,Patents,18,2,2,B,22,0,Granted,Active,3480000
TH75730B,Patents,23,1,4,F,20,35,Granted,Active,3480000
TH68661B,Patents,24,1,3,A,18,28,Granted,Active,3480000
TH2001003219A,Applications,64,1,6,B,27,12,Published,Pending,3480000
TH127371A,Applications,1,1,8,A,24,41,Examining,Pending,3470000
TH55198B,Patents,19,1,3,B,10,37,Granted,Active,3470000
TH74076B,Patents,13,1,8,B,7,38,Granted,Active,3470000
TH83209B,Patents,19,1,8,B,8,28,Granted,Active,3470000
TH90685B,Patents,2,2,4,A,20,29,Granted,Active,3470000
TH89680B,Patents,49,1,18,A,31,159,Granted,Active,3460000
TH88323B,Patents,6,1,6,A,19,9,Granted,Active,3460000
TH87480B,Patents,68,1,1,F,17,40,Granted,Active,3460000
TH1801005794A,Applications,133,1,20,A,27,5,Published,Pending,3450000
TH124128A,Applications,1,1,4,A,22,52,Examining,Pending,3440000
TH71789B,Patents,11,1,3,A,12,14,Granted,Active,3430000
TH61182B,Patents,22,1,3,B,6,25,Granted,Active,3430000
TH71632B,Patents,20,1,4,B,17,10,Granted,Active,3430000
TH128739A,Applications,1,1,11,C,11,9,Examining,Pending,3420000
TH135918A,Applications,1,2,10,C,11,35,Examining,Pending,3420000
TH160193A,Applications,1,1,4,A,17,10,Examining,Pending,3420000
TH182333A,Applications,1,1,6,C,15,32,Examining,Pending,3420000
TH70427B,Patents,28,2,2,B,14,4,Granted,Active,3420000
TH75034B,Patents,22,1,2,A,17,9,Granted,Active,3420000
TH132068A,Applications,1,1,2,A,22,54,Examining,Pending,3410000
TH86133B,Patents,14,2,2,F,23,4,Granted,Active,3410000
TH51265B,Patents,13,1,1,B,14,22,Granted,Active,3410000
TH65279B,Patents,43,1,2,B,15,32,Granted,Active,3410000
TH1901003942A,Applications,87,1,14,A,19,7,Examining,Pending,3410000
TH88740B,Patents,8,1,3,C,20,12,Granted,Active,3410000
TH87624A,Applications,1,1,9,A,26,345,Examining,Pending,3400000
TH85629B,Patents,12,1,3,A,24,12,Granted,Active,3400000
TH50365B,Patents,4,1,3,A,17,46,Granted,Active,3400000
TH69241B,Patents,32,1,4,A,18,10,Granted,Active,3400000
TH56333B,Patents,11,2,2,B,16,35,Granted,Active,3400000
TH75734B,Patents,17,1,10,F,8,37,Granted,Active,3400000
TH88612B,Patents,12,1,6,C,8,82,Granted,Active,3400000
TH141018A,Applications,1,1,6,C,15,76,Examining,Pending,3390000
TH1701000315A,Applications,105,1,6,C,19,22,Published,Pending,3390000
TH64244B,Patents,24,1,2,B,7,22,Granted,Active,3390000
TH142656A,Applications,1,1,5,A,15,23,Examining,Pending,3380000
TH141031A,Applications,1,1,6,C,21,62,Examining,Pending,3380000
TH141489A,Applications,1,1,5,A,15,11,Examining,Pending,3380000
TH1801001780A,Applications,22,1,1,A,27,18,Examining,Pending,3380000
TH40494B,Patents,21,1,3,B,13,30,Granted,Active,3380000
TH57517B,Patents,33,1,3,E,12,38,Granted,Active,3380000
TH149084A,Applications,1,1,1,A,10,20,Examining,Pending,3370000
TH135626A,Applications,1,1,11,A,26,25,Examining,Pending,3370000
TH158398A,Applications,1,1,18,C,15,75,Examining,Pending,3370000
TH1701006620A,Applications,52,3,1,C,24,6,Published,Pending,3370000
TH85407B,Patents,53,1,4,B,19,34,Granted,Active,3370000
TH63595B,Patents,16,1,3,F,9,24,Granted,Active,3370000
TH66365B,Patents,13,1,5,B,10,16,Granted,Active,3370000
TH56372B,Patents,25,1,2,B,8,62,Granted,Active,3360000
TH89033B,Patents,16,1,3,A,17,13,Granted,Active,3360000
TH88996B,Patents,17,1,5,H,10,47,Granted,Active,3360000
TH126094A,Applications,1,1,8,C,18,24,Examining,Pending,3350000
TH153694A,Applications,1,1,6,C,22,37,Examining,Pending,3350000
TH181923A,Applications,1,1,8,C,36,16,Examining,Pending,3350000
TH174391A,Applications,1,2,1,A,19,106,Examining,Pending,3340000
TH61935B,Patents,13,1,2,F,8,25,Granted,Active,3340000
TH62500B,Patents,44,1,4,F,7,43,Granted,Active,3340000
TH59507B,Patents,23,1,1,B,15,48,Granted,Active,3340000
TH69460B,Patents,30,1,6,B,8,37,Granted,Active,3340000
TH89530B,Patents,12,2,5,A,11,13,Granted,Active,3340000
TH122170A,Applications,1,2,6,A,16,27,Examining,Pending,3330000
TH72022B,Patents,12,1,6,A,18,7,Granted,Active,3330000
TH79319B,Patents,34,1,6,A,13,8,Granted,Active,3330000
TH126516A,Applications,1,1,2,A,20,5,Examining,Pending,3320000
TH116705A,Applications,1,1,2,A,23,16,Withdrawn,Inactive,3320000
TH127409A,Applications,1,1,2,A,23,24,Examining,Pending,3320000
TH162128A,Applications,1,1,2,C,22,44,Published,Pending,3320000
TH64880B,Patents,17,1,2,B,7,12,Granted,Active,3320000
TH87618B,Patents,50,2,2,A,22,25,Granted,Active,3320000
TH167976A,Applications,3,-,4,B,14,7,Examining,Pending,3310000
TH56838B,Patents,33,1,2,B,24,7,Granted,Active,3310000
TH57729B,Patents,5,1,4,A,22,39,Granted,Active,3310000
TH61730B,Patents,28,1,6,F,10,22,Granted,Active,3310000
TH1801004459A,Applications,28,1,2,A,21,2,Published,Pending,3300000
TH70282B,Patents,2,2,2,B,17,11,Granted,Active,3300000
TH71238B,Patents,52,1,4,C,16,99,Granted,Active,3300000
TH80727B,Patents,23,1,2,G,10,18,Granted,Active,3300000
TH84033B,Patents,9,1,1,B,28,12,Granted,Active,3300000
TH60870B,Patents,17,1,3,B,8,21,Granted,Active,3300000
TH132132A,Applications,1,1,8,A,24,25,Examining,Pending,3290000
TH1601007263A,Applications,47,1,10,A,32,15,Examining,Pending,3290000
TH162667A,Applications,2,1,7,C,22,793,Examining,Pending,3280000
TH156256A,Applications,1,1,3,C,10,41,Examining,Pending,3280000
TH96587A,Applications,1,1,2,A,16,11,Examining,Pending,3280000
TH81669B,Patents,43,1,4,F,10,8,Granted,Active,3280000
TH89457B,Patents,30,1,2,C,7,53,Granted,Active,3280000
TH103008A,Applications,1,1,3,C,20,3,Examining,Pending,3260000
TH78596B,Patents,96,1,7,C,12,91,Granted,Active,3260000
TH79856B,Patents,27,1,19,C,14,54,Granted,Active,3260000
TH1901006089A,Applications,156,1,2,A,32,8,Published,Pending,3260000
TH137495A,Applications,1,1,8,A,21,8,Examining,Pending,3250000
TH118572A,Applications,1,1,14,C,16,55,Examining,Pending,3250000
